role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-inflection,3.4930896646937613,187.77316794980464,40.0,0.3971923327634551,300.30231815943745,146.1949121232546,446.49723028269204,threshold-control
near-inflection,3.4930896646937613,187.78261309830407,40.0,0.3971729419850789,300.4138842535126,146.2684204829051,446.68230473641773,threshold-control
near-inflection,3.4930896646937613,187.7920582468035,40.0,0.3971535512387504,300.5254503475878,146.3419228894767,446.86737323706456,threshold-control
near-inflection,3.4930896646937613,187.80150339530294,40.0,0.3971341605245121,300.6370164416633,146.41541934336246,447.05243578502575,threshold-control
near-inflection,3.4930896646937613,187.81094854380237,40.0,0.39711476984240635,300.74858253573854,146.48890984495466,447.2374923806932,threshold-control
near-inflection,3.4930896646937613,187.8203936923018,40.0,0.39709537919247484,300.8601486298137,146.5623943946463,447.42254302446,threshold-control
near-inflection,3.4930896646937613,187.82983884080122,40.0,0.39707598857476,300.9717147238889,146.63587299283014,447.607587716719,threshold-control
near-inflection,3.4930896646937613,187.83928398930064,40.0,0.3970565979893038,301.0832808179641,146.70934563989883,447.7926264578629,threshold-control
near-inflection,3.4930896646937613,187.84872913780006,40.0,0.39703720743614845,301.1948469120393,146.78281233624506,447.9776592482844,threshold-control
near-inflection,3.4930896646937613,187.8581742862995,40.0,0.397017816915336,301.3064130061145,146.85627308226148,448.162686088376,threshold-control
near-inflection,3.4930896646937613,187.8676194347989,40.0,0.39699842642690886,301.41797910018965,146.92972787834074,448.3477069785304,threshold-control
near-inflection,3.4930896646937613,187.87706458329833,40.0,0.3969790359709088,301.52954519426487,147.0031767248754,448.5327219191403,threshold-control
near-inflection,3.4930896646937613,187.88650973179776,40.0,0.39695964554737817,301.6411112883401,147.07661962225805,448.7177309105981,threshold-control
near-inflection,3.4930896646937613,187.89595488029718,40.0,0.3969402551563589,301.75267738241524,147.15005657088122,448.90273395329643,threshold-control
near-inflection,3.4930896646937613,187.90540002879663,40.0,0.39692086479789335,301.8642434764908,147.22348757113767,449.08773104762844,threshold-control
near-inflection,3.4930896646937613,187.91484517729606,40.0,0.3969014744720236,301.975809570566,147.29691262341942,449.2727221939854,threshold-control
near-inflection,3.4930896646937613,187.92429032579548,40.0,0.3968820841787918,302.0873756646412,147.37033172811917,449.45770739276037,threshold-control
near-inflection,3.4930896646937613,187.9337354742949,40.0,0.3968626939182398,302.1989417587164,147.4437448856294,449.64268664434576,threshold-control
near-inflection,3.4930896646937613,187.94318062279433,40.0,0.3968433036904102,302.31050785279155,147.51715209634247,449.82765994913404,threshold-control
near-inflection,3.4930896646937613,187.95262577129375,40.0,0.39682391349534485,302.42207394686676,147.59055336065077,450.0126273075175,threshold-control
near-inflection,3.4930896646937613,187.96207091979318,40.0,0.3968045233330857,302.533640040942,147.66394867894672,450.1975887198887,threshold-control
near-inflection,3.4930896646937613,187.9715160682926,40.0,0.39678513320367526,302.64520613501713,147.73733805162263,450.3825441866398,threshold-control
near-inflection,3.4930896646937613,187.98096121679202,40.0,0.3967657431071556,302.75677222909235,147.8107214790708,450.56749370816317,threshold-control
near-inflection,3.4930896646937613,187.99040636529145,40.0,0.39674635304356864,302.8683383231675,147.8840989616835,450.75243728485106,threshold-control
near-inflection,3.4930896646937613,187.9998515137909,40.0,0.3967269630129566,302.97990441724306,147.95747049985326,450.93737491709635,threshold-control
near-inflection,3.4930896646937613,188.00929666229032,40.0,0.39670757301536164,303.0914705113183,148.03083609397183,451.1223066052901,threshold-control
