switch_s,total_cost
4.656517712618944982e-01,1.540562226420264302e+00
4.666084288992464746e-01,1.540323614824334220e+00
4.675650865365984510e-01,1.540087065253892273e+00
4.685217441739504829e-01,1.539852601624758011e+00
4.694784018113024593e-01,1.539620247562895061e+00
4.704350594486544912e-01,1.539390026407673417e+00
4.713917170860064676e-01,1.539161961215098406e+00
4.723483747233584440e-01,1.538936074761010131e+00
4.733050323607104204e-01,1.538712389544267367e+00
4.742616899980623968e-01,1.538490927789909923e+00
4.752183476354143732e-01,1.538271711452264601e+00
4.761750052727664051e-01,1.538054762218068028e+00
4.771316629101183815e-01,1.537840101509517332e+00
4.780883205474704134e-01,1.537627750487322364e+00
4.790449781848223898e-01,1.537417730053743936e+00
4.800016358221743662e-01,1.537210060855545457e+00
4.809582934595263426e-01,1.537004763286992759e+00
4.819149510968783190e-01,1.536801857492764434e+00
4.828716087342303509e-01,1.536601363370873718e+00
4.838282663715823273e-01,1.536403300575551967e+00
4.847849240089343592e-01,1.536207688520091708e+00
4.857415816462863356e-01,1.536014546379675494e+00
4.866982392836383120e-01,1.535823893094183212e+00
4.876548969209902884e-01,1.535635747370954540e+00
4.886115545583422648e-01,1.535450127687538302e+00
4.895682121956942967e-01,1.535267052294399415e+00
4.905248698330462731e-01,1.535086539217629387e+00
4.914815274703983050e-01,1.534908606261579322e+00
4.924381851077502814e-01,1.534733271011538225e+00
4.933948427451022578e-01,1.534560550836293835e+00
4.943515003824542342e-01,1.534390462890749873e+00
4.953081580198062106e-01,1.534223024118468004e+00
4.962648156571581870e-01,1.534058251254196259e+00
4.972214732945102189e-01,1.533896160826380584e+00
4.981781309318621953e-01,1.533736769159634639e+00
4.991347885692142272e-01,1.533580092377192727e+00
5.000914462065662036e-01,1.533426146403328971e+00
5.010481038439181800e-01,1.533274946965770047e+00
5.020047614812701564e-01,1.533126509598051967e+00
5.029614191186221328e-01,1.532980849641885523e+00
5.039180767559741092e-01,1.532837982249460662e+00
5.048747343933261966e-01,1.532697922385765299e+00
5.058313920306781730e-01,1.532560684830834852e+00
5.067880496680301494e-01,1.532426284182019316e+00
5.077447073053821258e-01,1.532294734856206597e+00
5.087013649427341022e-01,1.532166051091999437e+00
5.096580225800860786e-01,1.532040246951924312e+00
5.106146802174380550e-01,1.531917336324554846e+00
5.115713378547901424e-01,1.531797332926656319e+00
5.125279954921421188e-01,1.531680250305277102e+00
5.134846531294940952e-01,1.531566101839839433e+00
5.144413107668460716e-01,1.531454900744198433e+00
5.153979684041980480e-01,1.531346660068665377e+00
5.163546260415500244e-01,1.531241392702024307e+00
5.173112836789020008e-01,1.531139111373533979e+00
5.182679413162540882e-01,1.531039828654866763e+00
5.192245989536059536e-01,1.530943556962087282e+00
5.201812565909580410e-01,1.530850308557545336e+00
5.211379142283100174e-01,1.530760095551801259e+00
5.220945718656619938e-01,1.530672929905492641e+00
5.230512295030139702e-01,1.530588823431183076e+00
5.240078871403659466e-01,1.530507787795226005e+00
5.249645447777180340e-01,1.530429834519554833e+00
5.259212024150698994e-01,1.530354974983497929e+00
5.268778600524219868e-01,1.530283220425541879e+00
5.278345176897739632e-01,1.530214581945087637e+00
5.287911753271259396e-01,1.530149070504190023e+00
5.297478329644779160e-01,1.530086696929270129e+00
5.307044906018298924e-01,1.530027471912808634e+00
5.316611482391818688e-01,1.529971406015026236e+00
5.326178058765338452e-01,1.529918509665528337e+00
5.335744635138859326e-01,1.529868793164967489e+00
5.345311211512379090e-01,1.529822266686631238e+00
5.354877787885898854e-01,1.529778940278053501e+00
5.364444364259418618e-01,1.529738823862615504e+00
5.374010940632938382e-01,1.529701927241074344e+00
5.383577517006458146e-01,1.529668260093130616e+00
