time,s,i,q,beta1,beta2
1.850000000000000089e+00,9.539895892802033872e-01,3.489475538658822623e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.860000000000000098e+00,9.536556646706161322e-01,3.512365272897027824e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.870000000000000107e+00,9.533196682312570225e-01,3.535393313610183524e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.880000000000000115e+00,9.529815890221070562e-01,3.558560338871215312e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.890000000000000124e+00,9.526414160708728263e-01,3.581867027945858512e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000133e+00,9.522991383731234105e-01,3.605314061264226766e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.910000000000000142e+00,9.519547448922949240e-01,3.628902120420264554e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.919999999999999929e+00,9.516082245602244249e-01,3.652631888121195269e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.929999999999999938e+00,9.512595662779446126e-01,3.676504048122860441e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.939999999999999947e+00,9.509087589155965636e-01,3.700519285214283471e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.949999999999999956e+00,9.505557913125811664e-01,3.724678285193280119e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.959999999999999964e+00,9.502006522775739983e-01,3.748981734864986759e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.969999999999999973e+00,9.498433305893065892e-01,3.773430321970011603e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.979999999999999982e+00,9.494838149971572827e-01,3.798024735137111446e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.989999999999999991e+00,9.491220942211865408e-01,3.822765663853541079e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.487581569522709479e-01,3.847653798446363377e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.010000000000000231e+00,9.483919918521519499e-01,3.872689830077515050e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.020000000000000018e+00,9.480235875544403834e-01,3.897874450653919520e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.030000000000000249e+00,9.476529326650129370e-01,3.923208352794393255e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.040000000000000036e+00,9.472800157621803496e-01,3.948692229787821584e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.049999999999999822e+00,9.469048253967958795e-01,3.974326775579306581e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.060000000000000053e+00,9.465273500923632177e-01,4.000112684759740689e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.069999999999999840e+00,9.461475783462223177e-01,4.026050652461794777e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
